Qty,Value,Device,Package,Parts,Description,
3,,DRV8833,SOP65P640X120-17N,"DRV8833PWP1, DRV8833PWP2, DRV8833PWP3",,
8,,PINHD-1X1,1X01,"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8",PIN HEADER,
3,0.22,0.22OHM-0805-1/4W-1%,0805,"R1, R2, R3",0.22Ω resistor,
3,10nF,10NF-0603-50V-10%,0603,"C3, C6, C9","0.01uF/10nF/10,000pF ceramic capacitors",
3,10uF,10UF-0805-10V-10%,0805,"C1, C4, C10",10.0µF ceramic capacitors,
3,2.2uF,2.2UF-0603-10V-20%,0603,"C2, C5, C8",2.2µF ceramic capacitors,
1,61300211121,61300211121,61300211121,J7,CONN HEADER VERT 2POS 2.54MM,
3,61300511121,61300511121,61300511121,"J1, J4, J6",CONN HEADER VERT 5POS 2.54MM,
2,74HC595D,74HC595D,SO16,"IC1, IC2","8-bit SHIFT REGISTER, output latch",
1,L78LXXCU/BU,L78LXXCU/BU,SOT89,IC3,VOLTAGE REGULATOR,
